phone,DBA,BORO,STREET,ZIPCODE,CUISINE DESCRIPTION,Score Count,Score Recent,Score Max,Score Min,Score Average,Score StdDev,Grade A Count,Grade B Count,Grade C Count,Not Yet Graded,P Count,Z Count,,,,,
2017599585,750 MYRTLE DINER,BROOKLYN,MYRTLE AVE,11205,American,10,11,20,6,13.8,5.513619501,3,0,0,0,0,0,,,,,
2017766461,THE LITTLE WHISKEY,BROOKLYN,WILSON AVE,11237,American,5,17,17,2,14,6.708203932,1,0,0,0,0,0,,,,,
2018159686,DUNKIN DONUTS,MANHATTAN,BROADWAY,10007,Donuts,6,13,13,9,11,2.19089023,6,0,0,0,0,0,,,,,
2018159686,DUNKIN' DONUTS,QUEENS,LIBERTY AVE,11419,Donuts,11,13,24,10,18,6.92820323,5,0,0,0,0,0,,,,,
2018184669,PANERA BREAD,QUEENS,JUNCTION BOULEVARD,11374,American,14,9,22,2,14.64285714,6.452276198,8,0,0,0,0,0,,,,,
2018329930,SUBWAY,BRONX,E 204TH ST,10467,Sandwiches,5,8,14,8,11.6,3.286335345,2,0,0,0,0,0,,,,,
2018858643,THE WU ROOM,MANHATTAN,BOWERY,10002,American,5,26,26,9,19.2,9.311283478,0,0,0,0,0,3,,,,,
2018881292,DAILY WAFFLE,QUEENS,UNION ST,11354,Pancakes/Waffles,7,7,20,2,11.57142857,8.059303999,3,0,0,0,1,0,,,,,
2018927471,WINGSTOP,BRONX,E BURNSIDE AVE,10453,American,2,9,9,9,9,0,2,0,0,0,0,0,,,,,
2019069545,L.A. GOURMET,MANHATTAN,E 58TH ST,10022,American,17,7,26,6,16.76470588,7.726006502,7,0,0,0,0,0,,,,,
2019204389,SECARA,MANHATTAN,E 4TH ST,10009,Spanish,3,13,13,13,13,0,3,0,0,0,0,0,,,,,
2019267105,DUNKIN' DONUTS,BRONX,W 235TH ST,10463,Donuts,4,5,8,2,5.75,2.872281323,4,0,0,0,0,0,,,,,
2019543134,MCDONALD'S,BROOKLYN,ROCKAWAY PKWY,11236,American,17,7,19,4,11.94117647,5.297058007,8,0,0,0,0,0,,,,,
2019620270,SERENATA,MANHATTAN,W 17TH ST,10011,Mexican,4,10,10,9,9.5,0.577350269,2,0,0,0,0,0,,,,,
2019810997,DELANEY CHICKEN (URBAN SPACE),MANHATTAN,PARK AVE,10169,Chicken,5,13,13,2,8.4,4.669047012,4,0,0,0,0,0,,,,,
2019840123,SONO UCHI SUSHI,MANHATTAN,LENOX AVE,10027,Japanese,12,3,44,3,29.25,18.3656052,3,0,0,0,0,0,,,,,
2019957153,GOOGLE PANORAMA,MANHATTAN,8TH AVE,10011,American,1,2,2,2,2,#DIV/0!,1,0,0,0,0,0,,,,,
2019957153,THE MEZZ (GOOGLE),MANHATTAN,9TH AVE,10011,American,2,2,8,8,8,0,2,0,0,0,0,0,,,,,
2022108019,CAFE HENRIE,MANHATTAN,FORSYTH ST,10002,Caf̩/Coffee/Tea,8,12,16,12,14,2.138089935,4,0,0,0,0,0,,,,,
2022706688,HUNGRY GHOST COFFEE BAR AND CAFE AT TISCH,MANHATTAN,BROADWAY,10003,Caf̩/Coffee/Tea,8,0,24,0,16.75,10.23648935,3,0,0,0,0,0,,,,,
2022861788,DUNKIN' DONUTS,QUEENS,JFK International Airport,11430,Caf̩/Coffee/Tea,6,12,12,0,6.5,4.679743583,5,0,0,0,0,0,,,,,
2029073372,WEATHER UP,BROOKLYN,VANDERBILT AVENUE,11238,American,10,24,24,12,18,6.32455532,5,0,0,0,0,0,,,,,
2032526859,CHALAIT,MANHATTAN,9TH AVE,10011,Caf̩/Coffee/Tea,2,7,7,7,7,0,2,0,0,0,0,0,,,,,
2032939799,EATSA,MANHATTAN,MADISON AVE,10017,Vegetarian,2,8,10,8,9,1.414213562,1,0,0,0,0,0,,,,,
2033055634,BEVERLY'S,MANHATTAN,ESSEX STREET,10002,American,16,6,28,5,17.3125,9.761958478,7,0,0,0,0,0,,,,,
2036107366,G&J'S PIZZERIA,MANHATTAN,1ST AVE,10128,Pizza/Italian,7,12,12,11,11.42857143,0.534522484,7,0,0,0,0,0,,,,,
2036563661,PIZZA BAR,MANHATTAN,W 34TH ST,10001,Pizza,10,9,20,9,14.9,4.817791103,4,0,0,0,0,0,,,,,
2037314439,DUNKIN' DONUTS,QUEENS,20TH AVE,11356,Donuts,1,10,10,10,10,#DIV/0!,1,0,0,0,0,0,,,,,
2039196337,"DUNKIN' DONUTS, BASKIN ROBBINS",BRONX,E KINGSBRIDGE RD,10458,Donuts,9,8,23,4,13.22222222,7.996527024,6,0,0,0,0,0,,,,,
2039439240,DUNKIN' DONUTS,QUEENS,37TH AVE,11372,Donuts,7,13,13,9,11,1.914854216,7,0,0,0,0,0,,,,,
2039661083,JULIANA'S PIZZA,BROOKLYN,OLD FULTON STREET,11201,Italian,11,7,21,7,12.27272727,5.917616228,8,0,0,0,0,0,,,,,
2055688823,LANZHOU HANDMAKE NOODLE,QUEENS,ROOSEVELT AVE,11354,Chinese,8,20,35,12,21.75,8.892211681,2,0,0,0,0,0,,,,,
2062250663,BAR SUZETTE,MANHATTAN,PARK AVE,10169,American,2,3,3,2,2.5,0.707106781,1,0,0,0,0,0,,,,,
2062408953,Jill Lindsey,BROOKLYN,MYRTLE AVE,11205,Other,4,2,10,0,5,4.760952286,3,0,0,0,0,0,,,,,
2063188705,STARBUCKS,MANHATTAN,BROAD ST,10004,Caf̩/Coffee/Tea,1,2,2,2,2,#DIV/0!,1,0,0,0,0,0,,,,,
2063188705,STARBUCKS # 24485,MANHATTAN,3RD AVE,10022,Other,3,2,12,12,12,0,3,0,0,0,0,0,,,,,
2072723346,Eat Morris,BROOKLYN,BROOKLYN AVE,11213,Caf̩/Coffee/Tea,11,12,53,2,40.90909091,20.86841894,3,0,0,0,0,0,,,,,
2122011228,AINSWORTH MIDTOWN,MANHATTAN,E 33RD ST,10016,American,21,7,41,7,27,10.66770828,4,4,0,0,0,0,,,,,
2122012171,GRAMERCY TERRACE (GRAMERCY PARK HOTEL),MANHATTAN,LEXINGTON AVENUE,10010,American,20,0,27,0,14.4,7.493154771,11,0,0,0,0,0,,,,,
2122012766,FOUNDRY KITCHEN & BAR,MANHATTAN,W 43RD ST,10036,American,15,7,36,7,21.6,12.46022242,7,0,0,0,0,0,,,,,
2122012766,STAR'S CAFE (WESTIN HOTEL),MANHATTAN,WEST   43 STREET,10036,American,22,7,44,0,23.18181818,14.51972833,5,3,0,0,0,1,,,,,
2122014065,L'AMICO/THE VINE,MANHATTAN,6TH AVE,10001,American,14,27,59,10,40.57142857,19.93726424,2,0,0,0,0,0,,,,,
2122017650,EDISON BALLROOM,MANHATTAN,WEST   47 STREET,10036,Asian,20,9,32,7,18.5,10.08646827,8,4,0,0,0,0,,,,,
2122019118,JIMMY,MANHATTAN,GRAND ST,10013,American,20,12,20,7,14.7,4.953467685,9,0,0,0,0,0,,,,,
2122019119,DAVID BURKE KITCHEN,MANHATTAN,GRAND ST,10013,American,3,2,3,2,2.333333333,0.577350269,3,0,0,0,0,0,,,,,
2122030032,CHOP'T,MANHATTAN,3RD AVE,10075,Salads,8,13,13,7,10.25,2.96407056,8,0,0,0,0,0,,,,,
2122030802,LE PAIN QUOTIDIEN,MANHATTAN,LEXINGTON AVENUE,10128,Sandwiches,6,7,7,4,5,1.549193338,6,0,0,0,0,0,,,,,
2122032121,ACME BAR & GRILL,MANHATTAN,GREAT JONES STREET,10012,American,18,9,21,9,13.66666667,4.43250029,11,3,0,0,0,0,,,,,
2122033371,CORCHO WINE ROOM,MANHATTAN,DYCKMAN STREET,10034,"Bottled beverages, including water, sodas, juices, etc.",33,12,34,2,20.87878788,10.493324,8,0,1,0,0,0,,,,,
2122035613,BURGER HEIGHTS,MANHATTAN,AUDUBON AVE,10032,American,2,6,6,6,6,0,1,0,0,0,0,0,,,,,
2122035613,BURGER HEIGHTS,MANHATTAN,WADSWORTH AVE,10033,American,9,6,13,0,10.55555556,4.126472801,8,0,0,0,0,0,,,,,
2122035944,DELIVERY ONLY,MANHATTAN,PEARL ST,10005,American,4,11,11,11,11,0,4,0,0,0,0,0,,,,,
2122036161,WRAPIDO,MANHATTAN,9TH AVE,10036,Mediterranean,33,10,42,4,25.03030303,11.44957654,6,5,0,0,0,0,,,,,
2122037167,NEBULA BAR & KITCHEN,MANHATTAN,NAGLE AVE,10040,Spanish,2,7,7,7,7,0,0,0,0,2,0,0,,,,,
2122037772,L&W OYSTER CO.,MANHATTAN,5 AVENUE,10001,Seafood,14,12,13,7,11.14285714,2.070196678,12,0,0,0,0,0,,,,,
2122038095,MOMOFUKU KO,MANHATTAN,EXTRA PL,10003,Japanese,7,5,21,5,15.28571429,7.250615737,3,0,0,0,0,0,,,,,
2122039132,TERRI,MANHATTAN,3RD AVE,10017,Vegetarian,1,2,2,2,2,#DIV/0!,1,0,0,0,0,0,,,,,
2122040200,O YA,MANHATTAN,E 28TH ST,10016,Japanese,3,9,9,2,6.666666667,4.041451884,3,0,0,0,0,0,,,,,
2122044983,CHARLIE PALMER AT THE KNICK (4th Floor),MANHATTAN,BROADWAY,10036,American,10,6,25,6,15.6,8.422192905,6,0,0,0,0,0,,,,,
2122045222,ROOF AT PARK SOUTH,MANHATTAN,E 28TH ST,10016,American,2,10,10,10,10,0,2,0,0,0,0,0,,,,,
2122045249,COVINA,MANHATTAN,E 28TH ST,10016,American,1,9,9,9,9,#DIV/0!,1,0,0,0,0,0,,,,,
2122045570,LITTLE PARK,MANHATTAN,W BROADWAY,10007,American,5,5,10,5,7.8,2.167948339,5,0,0,0,0,0,,,,,
2122045760,THE PAUL,MANHATTAN,W 29TH ST,10001,American,14,8,31,7,19.5,10.98775542,3,0,0,0,0,0,,,,,
2122047246,HILTON GARDEN INN NEW YORK /TIME SQUAR CENTRAL,MANHATTAN,W 42ND ST,10036,American,3,10,10,10,10,0,3,0,0,0,0,0,,,,,
2122048598,GRK,MANHATTAN,Lexington Ave,10017,Greek,22,4,18,4,13.59090909,4.686953431,9,0,0,0,0,0,,,,,
2122050100,MANHATTAN WEST,MANHATTAN,EAST   78 STREET,10075,American,4,4,4,2,2.75,0.957427108,4,0,0,0,0,0,,,,,
2122051200,IHS MARKIT CAFE,MANHATTAN,W 33RD ST,10001,American,4,18,18,18,18,0,0,0,0,4,0,0,,,,,
2122057284,DRINK,MANHATTAN,BROADWAY,10036,Caf̩/Coffee/Tea,3,6,6,6,6,0,0,0,0,3,0,0,,,,,
2122060000,THE TIPPLER,MANHATTAN,9 AVENUE,10011,Armenian,21,8,28,8,18.19047619,7.467389421,11,0,0,0,0,0,,,,,
2122060381,WXOU RADIO,MANHATTAN,HUDSON STREET,10014,American,22,12,25,10,16.77272727,5.951644976,11,0,0,0,0,0,,,,,
2122060430,WOOD AND ALES,MANHATTAN,W 14TH ST,10011,American,22,11,42,2,16.95454545,12.80430461,9,0,0,0,2,0,,,,,
2122060440,METROPOLITAN ROOM,MANHATTAN,WEST   22 STREET,10010,American,19,10,17,7,12.21052632,2.99219257,9,0,0,0,0,0,,,,,
2122060594,LELABAR,MANHATTAN,HUDSON STREET,10014,American,12,10,12,2,9.916666667,3.203927514,10,0,0,0,0,0,,,,,
2122060669,JOE: THE ART OF COFFEE,MANHATTAN,WEST   23 STREET,10011,Caf̩/Coffee/Tea,17,9,40,3,20.11764706,13.13812369,6,0,3,0,0,0,,,,,
2122060707,IRVING FARM COFFEE ROASTERS,MANHATTAN,E 50TH ST,10022,Caf̩/Coffee/Tea,4,12,36,12,24,13.85640646,2,0,0,0,0,0,,,,,
2122060998,FAIRFIELD INN CHELSEA,MANHATTAN,WEST   28 STREET,10001,Continental,13,12,28,5,19.84615385,8.483770328,4,3,0,0,0,0,,,,,
2122060999,PIZZA 23,MANHATTAN,W 23RD ST,10011,Pizza,28,13,43,9,21.75,12.94325221,11,0,0,0,0,0,,,,,
2122061096,NO. 8,MANHATTAN,W 16TH ST,10011,American,19,11,27,11,18.57894737,7.522675274,7,2,0,0,0,0,,,,,
2122061100,BUS STOP CAFE,MANHATTAN,HUDSON STREET,10014,American,6,12,12,2,8.666666667,4.082482905,6,0,0,0,0,0,,,,,
2122061221,BOSTON MARKET,MANHATTAN,WEST   23 STREET,10011,American,22,12,32,7,17.72727273,8.119241216,11,0,0,0,0,0,,,,,
2122061224,HEE KOREAN BBQ GRILL,MANHATTAN,6TH AVE,10001,Korean,23,11,22,9,16.30434783,4.704299606,9,0,0,0,0,0,,,,,
2122061333,CAFFE BENE,MANHATTAN,W 17TH ST,10011,Caf̩/Coffee/Tea,7,6,11,0,7.285714286,4.070801957,6,0,0,0,0,0,,,,,
2122061738,GROM,MANHATTAN,BLEECKER STREET,10014,"Ice Cream, Gelato, Yogurt, Ices",10,2,12,2,8.4,3.717824932,8,0,0,0,0,0,,,,,
2122062557,STREETBIRD,MANHATTAN,FREDERICK DOUGLASS BOULEVARD,10026,American,14,12,25,9,16.78571429,6.435222445,6,0,0,0,0,0,,,,,
2122063766,SAN MARINO RISTORANTE,MANHATTAN,CHARLTON STREET,10014,Italian,12,11,14,9,11.16666667,1.696699113,10,0,0,0,0,0,,,,,
2122063781,CHIPOTLE MEXICAN GRILL,MANHATTAN,6 AVENUE,10010,Tex-Mex,21,4,39,4,19.42857143,12.27832003,9,0,0,0,0,0,,,,,
2122064488,BUTTERFIELD CAFE,MANHATTAN,BROADWAY,10003,American,5,11,11,7,8.6,2.19089023,5,0,0,0,0,0,,,,,
2122066200,BUBBY'S HIGHLINE,MANHATTAN,GANSEVOORT ST,10014,American,28,40,40,-1,19.75,14.72117397,6,0,6,0,0,0,,,,,
2122066766,BOTTINO,MANHATTAN,10 AVENUE,10001,Italian,29,12,62,6,30.68965517,22.35445537,11,0,0,0,0,0,,,,,
2122066900,EL QUINTO PINO,MANHATTAN,WEST   24 STREET,10011,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",25,12,42,9,18.64,10.83928042,11,0,0,0,0,0,,,,,
2122067226,HANJAN,MANHATTAN,WEST   26 STREET,10010,Korean,46,5,52,5,27.10869565,16.3465637,9,3,5,0,2,0,,,,,
2122067273,VICTORY GARDEN,MANHATTAN,CARMINE STREET,10014,"Ice Cream, Gelato, Yogurt, Ices",7,12,12,2,9.428571429,3.505098328,7,0,0,0,0,0,,,,,
2122067577,MOLE,MANHATTAN,JANE STREET,10014,Mexican,21,7,39,7,20.95238095,13.53320432,8,0,0,0,0,0,,,,,
2122067592,HECTOR'S CAFE & DINER,MANHATTAN,LITTLE WEST   12 STREET,10014,American,23,12,58,4,19.7826087,18.18330033,10,0,0,0,0,0,,,,,
2122067691,LEDERHOSEN RESTAURANT,MANHATTAN,GROVE STREET,10014,German,23,5,38,5,22.86956522,10.74626509,9,0,0,0,0,0,,,,,
2122068011,CRUMBS BAKE SHOP,MANHATTAN,UNIVERSITY PL,10003,Bakery,2,9,9,9,9,0,2,0,0,0,0,0,,,,,
2122068388,AUNTIE GUAN'S KITCHEN 108,MANHATTAN,W 14TH ST,10011,Chinese,22,7,30,7,23.86363636,7.863692666,3,0,7,0,0,0,,,,,
2122068405,POPEYES LOUISIANA KITCHEN,MANHATTAN,WEST   14 STREET,10011,Chicken,16,5,21,5,15.1875,4.9560569,8,0,0,0,0,0,,,,,
2122068500,SWEET CORNER BAKE SHOP,MANHATTAN,HUDSON STREET,10014,Bakery,13,7,21,3,12.76923077,7.395424781,8,0,0,0,0,0,,,,,
2122068530,TAURO RESTAURANT,MANHATTAN,HUDSON STREET,10013,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",25,12,26,11,14.92,5.729456053,14,0,0,0,0,0,,,,,
2122068686,LE ZIE TRATTORIA,MANHATTAN,7 AVENUE,10011,Italian,25,12,33,7,20.56,8.391861136,8,4,0,0,0,0,,,,,
2122068805,BRYANT PARK GRILL,MANHATTAN,WEST 40TH STREET,10018,American,21,13,23,6,14.19047619,6.241947193,11,0,0,0,0,0,,,,,
2122068903,EL COCOTERO,MANHATTAN,W 18TH ST,10011,Spanish,17,9,35,0,18.76470588,11.41013481,5,0,1,0,0,0,,,,,
2122068922,CITY MARKET CAFE,MANHATTAN,5 AVENUE,10010,American,51,11,71,7,32.62745098,21.43917982,9,13,0,0,0,0,,,,,
2122068959,THE FOUR FACED LIAR,MANHATTAN,WEST    4 STREET,10014,American,25,12,39,7,23.64,13.50888596,11,0,0,0,0,0,,,,,
2122068989,LAUT,MANHATTAN,EAST   17 STREET,10003,Thai,19,11,25,5,15.47368421,6.040312915,5,3,0,0,0,0,,,,,
2122069200,CLAY,MANHATTAN,WEST   14 STREET,10011,American,18,8,29,3,18.61111111,9.959558748,9,0,0,0,0,0,,,,,
2122069330,INJERA RESTAURANT,MANHATTAN,ABINGDON SQ,10014,Ethiopian,18,10,32,6,18.5,10.47265346,9,0,0,0,0,0,,,,,
2122069777,GIULIETTA'S CANTINA CLUB,MANHATTAN,CARMINE ST,10014,Italian,4,11,11,11,11,0,4,0,0,0,0,0,,,,,
2122069991,MCDONALD'S,MANHATTAN,VARICK STREET,10014,Hamburgers,16,5,19,5,13.125,5.315072906,6,3,0,0,0,0,,,,,
2122071902,ARMANI RISTORANTE,MANHATTAN,5TH AVE,10022,Italian,6,10,21,10,17.33333333,5.680375574,2,0,0,0,0,0,,,,,
2122071938,TSUSHIMA,MANHATTAN,E 44TH ST,10017,Japanese,24,12,63,2,26.79166667,22.07296037,9,0,0,0,0,0,,,,,
2122073657,FUSIA,MANHATTAN,1ST AVE,10022,Asian,1,10,10,10,10,#DIV/0!,1,0,0,0,0,0,,,,,
2122073737,PANAME,MANHATTAN,2ND AVE,10022,French,11,10,23,3,15,7.924645102,6,0,0,0,0,0,,,,,
2122073771,SUBWAY,MANHATTAN,2 AVENUE,10065,Sandwiches,6,4,11,4,8.5,2.949576241,6,0,0,0,0,0,,,,,
2122073848,D NAPOLI PIZZA,MANHATTAN,3 AVENUE,10022,Pizza,17,10,20,10,13.29411765,3.949124996,11,0,0,0,0,0,,,,,
2122074000,ELITE FOOD BAR,MANHATTAN,EAST   48 STREET,10017,American,14,11,18,3,12.35714286,4.924149952,9,0,0,0,0,0,,,,,
2122074101,PRET A MANGER,MANHATTAN,PARK AVENUE,10022,Sandwiches,8,2,11,2,7.125,3.603074084,7,0,0,0,0,0,,,,,
2122074555,FIG & OLIVE,MANHATTAN,LEXINGTON AVENUE,10065,Mediterranean,11,10,25,7,12.81818182,7.909717843,8,0,0,0,0,0,,,,,
2122074566,ESSEN,MANHATTAN,MADISON AVENUE,10022,American,34,12,35,9,23.47058824,10.18089504,12,0,6,0,0,0,,,,,
2122074787,CHINA MOON,MANHATTAN,EAST 47 STREET,10017,Chinese,20,7,33,2,14.45,9.703363497,7,3,1,0,0,0,,,,,
2122076962,FRANKLIN SQUARE CAFE @ HARPER COLLINS,MANHATTAN,BROADWAY,10007,American,10,5,22,0,10.4,8.329332373,6,0,0,0,0,0,,,,,
2122078014,RED OLIVE,MANHATTAN,LEXINGTON AVENUE,10022,American,21,21,35,10,20.66666667,9.313073249,6,6,0,0,0,0,,,,,
2122078050,BOBBY VAN'S STEAKHOUSE,MANHATTAN,EAST   54 STREET,10022,Steak,36,12,49,12,27.38888889,14.27941131,8,2,7,0,0,0,,,,,
2122078080,A PLUS THAI PLACE,MANHATTAN,2ND AVE,10022,Thai,28,19,22,7,16.10714286,4.366024429,8,3,0,0,0,0,,,,,
2122078117,ANDRE'S HUNGARIAN STRUDEL S & PASTRIES,MANHATTAN,1 AVENUE,10022,Bakery,13,12,47,7,30,19.16159353,6,0,0,0,0,0,,,,,
2122078280,SCALINATELLA RESTAURANT,MANHATTAN,EAST   61 STREET,10065,Italian,19,7,27,7,15.73684211,7.240642277,9,0,0,0,0,0,,,,,
2122078302,OMAR'S MEDITERRANEAN CUISINE,MANHATTAN,E 55TH ST,10022,Mediterranean,2,12,12,12,12,0,2,0,0,0,0,0,,,,,
2122078349,EL PORRON,MANHATTAN,1 AVENUE,10065,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",30,13,31,9,20.7,7.105849946,8,8,0,0,0,0,,,,,
2122078375,SPRINKLES CUPCAKES,MANHATTAN,LEXINGTON AVENUE,10065,Bakery,12,12,34,4,14.33333333,12.28697265,7,0,0,0,2,0,,,,,
2122078562,THE POLO BAR,MANHATTAN,E 55TH ST,10022,American,7,9,17,9,12.71428571,4.029652,4,0,0,0,0,0,,,,,
2122078958,SUBWAY,MANHATTAN,FIRST AVE,10022,Sandwiches,12,12,30,2,16.75,10.22585849,8,0,0,0,0,0,,,,,
2122087800,WRAPIDO,MANHATTAN,8 AVENUE,10011,Mediterranean,27,15,30,0,16.96296296,8.746346409,8,3,0,0,0,0,,,,,
2122091055,CAFE TALLULAH,MANHATTAN,COLUMBUS AVENUE,10023,American,10,5,20,5,13.1,5.237683967,7,0,0,0,0,0,,,,,
2122091573,BLIND PIG,MANHATTAN,EAST   14 STREET,10003,American,23,8,20,8,13.47826087,4.208968403,14,0,0,0,0,0,,,,,
2122096784,MORGENSTERN'S FINEST ICE CREAM,MANHATTAN,BOWERY,10002,"Ice Cream, Gelato, Yogurt, Ices",13,9,15,3,11.69230769,3.966203377,7,0,0,0,0,0,,,,,
2122103018,RA @ Y & R,MANHATTAN,COLUMBUS CIRCLE,10019,American,4,7,9,3,7,2.828427125,4,0,0,0,0,0,,,,,
2122105285,CAFE 285,MANHATTAN,COLUMBUS CIRCLE,10019,American,3,5,5,0,3.333333333,2.886751346,3,0,0,0,0,0,,,,,
2122130009,OMAR'S MEDITERRANEAN CUISINE,MANHATTAN,E 39TH ST,10016,Mediterranean,2,9,9,9,9,0,2,0,0,0,0,0,,,,,
2122130042,BLACK SHACK,MANHATTAN,LEXINGTON AVENUE,10016,American,4,2,8,2,6.5,3,4,0,0,0,0,0,,,,,
2122130050,THE COFFEE BEAN & TEA LEAF,MANHATTAN,2 AVENUE,10016,Caf̩/Coffee/Tea,4,10,10,2,7.25,3.774917218,4,0,0,0,0,0,,,,,
2122130077,HAN GAWI,MANHATTAN,EAST   32 STREET,10016,Korean,35,18,29,10,22.25714286,6.687753765,6,6,0,0,0,0,,,,,
2122130093,THE ARCHIVE,MANHATTAN,EAST   36 STREET,10016,American,13,19,24,7,17.53846154,6.186212959,4,0,0,0,0,0,,,,,
2122130708,CHOZA TAQUERIA,MANHATTAN,GREENWICH ST,10007,Mexican,1,2,2,2,2,#DIV/0!,1,0,0,0,0,0,,,,,
2122130708,CHOZA TAQUERIA,MANHATTAN,MADISON AVENUE,10016,Mexican,28,2,38,8,15.85714286,9.827076298,14,0,0,0,0,0,,,,,
2122131001,FRANCHIA,MANHATTAN,PARK AVENUE,10016,Korean,19,7,21,6,14.42105263,5.833959866,8,0,0,0,0,0,,,,,
2122131100,MOONSTRUCK EAST,MANHATTAN,THIRD AVENUE,10016,American,13,13,22,4,14.61538462,6.776656766,8,0,0,0,0,0,,,,,
2122131350,MIDDLE BRANCH,MANHATTAN,EAST   33 STREET,10016,American,11,5,12,5,9.363636364,2.540579748,7,0,0,0,0,0,,,,,
2122131370,LUCKY DELI,MANHATTAN,EAST   37 STREET,10016,Delicatessen,34,13,20,7,14,4.780008875,15,0,0,0,0,0,,,,,
2122131755,16 HANDLES,MANHATTAN,3 AVENUE,10016,"Ice Cream, Gelato, Yogurt, Ices",14,8,12,7,9.928571429,1.639150142,10,0,0,0,0,0,,,,,
2122132177,SOJU HAUS,MANHATTAN,5TH AVE,10016,Korean,23,11,21,8,14.73913043,4.474344963,10,0,0,0,0,0,,,,,
2122132228,SUBWAY,MANHATTAN,3 AVENUE,10016,Sandwiches/Salads/Mixed Buffet,7,7,12,7,8.714285714,2.288688541,7,0,0,0,0,0,,,,,
2122132299,HUNAN HOUSE,MANHATTAN,W 56TH ST,10019,Chinese,30,41,41,7,24.23333333,11.47015117,2,11,0,0,0,0,,,,,
2122132431,876 MARKET DELI,MANHATTAN,6TH AVE,10001,Delicatessen,3,5,12,5,9.666666667,4.041451884,3,0,0,0,0,0,,,,,
