phone,area,category,postal_code,price_range,rating_value,restaurant,review_count,DBA,BORO,STREET,ZIPCODE,CUISINE DESCRIPTION,Score Count,Score Recent,Score Max,Score Min,Score Average,Score StdDev,Grade A Count,Grade B Count,Grade C Count,Not Yet Graded,P Count,Z Count,Inspection,Times_Graded,,,,,
7188988001,Elmhurst,Malaysian,11373,Under $10,4,Taste Good Malaysian Cuisine,518,TASTE GOOD MALAYSIAN CUISINE,QUEENS,45 AVENUE,11373,Asian,28,12,27,6,18.82142857,6.104361352,9,3,0,0,0,0,10,7,,,,,
7188970055,Glendale,"American (New),
                    Bars,
                    Tapas/Small Plates",11385,$11-30,4.5,Room 55,149,ROOM 55,QUEENS,88TH ST,11385,American,19,9,21,4,12.26315789,5.970688638,7,0,0,0,0,0,9,5,,,,,
7188880711,Flushing,"Cajun/Creole,
                    Seafood,
                    Hot Pot",11354,Above $61,4,Village Crab & Sea,29,VILLAGE CRAB & SEA,QUEENS,37TH AVE,11354,Seafood,6,4,65,4,54.83333333,24.90314572,0,0,0,1,0,0,2,1,,,,,
7188752525,Brooklyn,"Indian,
                    Himalayan/Nepalese",11205,$11-30,4.5,Spice & Grill,50,SPICE & GRILL,BROOKLYN,MYRTLE AVE,11205,Indian,5,18,18,5,11,6.442049363,0,2,0,0,0,0,4,2,,,,,
7188587650,Brooklyn,Seafood,11231,$11-30,4,Red Hook Lobster Pound,741,RED HOOK LOBSTER POUND,BROOKLYN,VAN BRUNT ST,11231,Seafood,5,13,13,7,10.6,3.286335345,5,0,0,0,0,0,2,3,,,,,
7188582222,Brooklyn,Mexican,11231,$11-30,4,La Slowteria,162,LA SLOWTERIA,BROOKLYN,COURT STREET,11231,American,17,14,20,7,15.05882353,4.053865258,6,3,0,0,0,0,5,4,,,,,
7188581095,Brooklyn,American (Traditional),11201,$11-30,4,Atrium Dumbo,392,ATRIUM DUMBO,BROOKLYN,MAIN STREET,11201,French,21,8,29,7,22.80952381,8.857872474,6,4,0,0,0,0,6,5,,,,,
7188573483,Brooklyn,"Vietnamese,
                    Coffee & Tea,
                    Salad",11217,$11-30,4,5ive Spice,300,5IVE SPICE,BROOKLYN,5TH AVE,11217,Asian,6,12,12,9,10.66666667,1.505545305,4,0,0,0,0,0,3,3,,,,,
7188571833,Brooklyn,"Spanish,
                    Italian,
                    Portuguese",11217,$31-60,4,Convivium Osteria,387,CONVIVIUM OSTERIA,BROOKLYN,5 AVENUE,11217,Italian,15,5,24,2,14.73333333,9.28490839,7,0,0,0,0,0,7,6,,,,,
7188568888,Brooklyn,"Wine Bars,
                    American (New),
                    Tapas/Small Plates",11218,$11-30,4,The Castello Plan,254,THE CASTELLO PLAN,BROOKLYN,CORTELYOU ROAD,11218,American,24,13,30,7,17.54166667,7.912451204,11,0,0,0,0,0,7,5,,,,,
7188557939,Brooklyn,"Lounges,
                    American (Traditional)",11201,$11-30,4,Clover Club,614,CLOVER CLUB,BROOKLYN,SMITH ST,11201,American,13,12,18,2,11.23076923,4.603510366,10,0,0,0,0,0,5,5,,,,,
7188557500,Brooklyn,"American (New),
                    Bars,
                    Breakfast & Brunch",11201,$31-60,4,Colonie,447,COLONIE,BROOKLYN,ATLANTIC AVENUE,11201,American,21,16,16,10,13.28571429,2.194148061,8,5,0,0,0,0,9,6,,,,,
7188555574,Brooklyn,"American (New),
                    Cocktail Bars",11201,$11-30,4,Bijan’s,314,BIJAN'S,BROOKLYN,HOYT STREET,11201,American,29,17,33,5,19.62068966,9.777575631,6,3,0,0,0,0,11,6,,,,,
7188555288,Brooklyn,Italian,11201,$11-30,4,AlMar,266,ALMAR,BROOKLYN,FRONT STREET,11201,American,38,44,45,5,28.23684211,13.13018847,3,5,5,0,0,8,10,6,,,,,
7188555125,Brooklyn,"Greek,
                    Mediterranean,
                    Salad",11231,$11-30,4,Avlee Greek Kitchen,192,AVLEE  GREEK KITCHEN,BROOKLYN,SMITH STREET,11231,Greek,26,2,45,2,22.42307692,15.09217831,11,0,0,0,1,0,9,7,,,,,
7188554791,Brooklyn,Mexican,11201,$11-30,4,Gallito’s Kitchen,208,GALLITOS MEXICAN URBAN KITCHEN,BROOKLYN,MONTAGUE ST,11201,Other,3,12,12,12,12,0,3,0,0,0,0,0,1,1,,,,,
7188550988,Brooklyn,"Japanese,
                    Sushi Bars",11201,$11-30,4,Jun Shokudo,115,JUN SHOKUDO,BROOKLYN,GOLD ST,11201,Japanese,15,13,24,7,14,5.744562647,7,0,0,0,0,0,6,4,,,,,
7188528490,Brooklyn,"American (New),
                    Breakfast & Brunch",11231,$11-30,4,Buttermilk Channel,1521,BUTTERMILK CHANNEL,BROOKLYN,COURT STREET,11231,American,17,5,20,5,13.35294118,3.967700475,9,0,0,0,0,0,7,5,,,,,
7188528321,Brooklyn,American (New),11231,$31-60,4,Battersby,269,BATTERSBY,BROOKLYN,SMITH STREET,11231,American,19,12,19,9,13.15789474,3.287402857,10,0,0,0,0,0,7,5,,,,,
7188525084,Brooklyn,"American (New),
                    Desserts,
                    Bars",11201,$31-60,4,Jack the Horse Tavern,323,JACK THE HORSE TAVERN,BROOKLYN,HICKS STREET,11201,American,26,12,29,10,20.26923077,7.096803181,9,0,0,0,0,0,9,5,,,,,
7188521652,Brooklyn,"Tapas Bars,
                    Mediterranean,
                    Middle Eastern",11231,$11-30,4.5,Mazzat,132,MAZZAT,BROOKLYN,COLUMBIA STREET,11231,Middle Eastern,7,8,11,7,9,1.914854216,7,0,0,0,0,0,3,3,,,,,
7188521015,Brooklyn,"Barbeque,
                    Beer Bar",11201,$11-30,4,Mason Jar BK,17,MASON JAR BK.,BROOKLYN,FULTON ST,11217,Barbecue,2,7,7,7,7,0,2,0,0,0,0,0,1,1,,,,,
7188400404,Brooklyn,American (New),11215,$31-60,4,Blue Ribbon Brasserie Brooklyn,475,BLUE RIBBON BRASSERIE,BROOKLYN,5 AVENUE,11215,American,7,8,10,8,9.428571429,0.975900073,7,0,0,0,0,0,3,4,,,,,
7188384181,Brooklyn,"Chinese,
                    Noodles,
                    Soup",11220,Under $10,4,Western Yunnan Crossing Bridge Noodle,12,WESTERN YUNNAN  CROSSING BRIDGE NOODLE,BROOKLYN,59TH ST,11220,Chinese,1,2,2,2,2,0,0,0,0,1,0,0,1,1,,,,,
7188341776,Brooklyn,"American (New),
                    Diners,
                    Wine Bars",11201,$31-60,4,Henry’s End,288,HENRY'S END,BROOKLYN,HENRY STREET,11201,American,14,12,28,8,15.71428571,8.184681484,10,0,0,0,0,0,5,5,,,,,
7188336663,Brooklyn,"Seafood,
                    Chinese",11219,$11-30,3,Mang Tang Hung,4,MANGTANGHUNG SEAFOOD RESTAURANT,BROOKLYN,11TH AVE,11219,Chinese,9,40,40,40,40,0,0,0,0,9,0,0,1,1,,,,,
7188168162,Staten Island,"Spanish,
                    Tapas Bars",10301,$11-30,4,Beso,348,BESO,STATEN ISLAND,SCHUYLER ST,10301,Spanish,22,12,53,3,28.40909091,16.83437269,6,0,0,0,0,0,7,5,,,,,
7188036227,Jackson Heights,Thai,11372,$11-30,4.5,Kitchen 79,357,KITCHEN 79,QUEENS,79TH ST,11372,Thai,35,4,32,4,19.37142857,9.734975496,9,6,0,0,0,0,11,6,,,,,
7187970528,Brooklyn,"Asian Fusion,
                    New Mexican Cuisine,
                    Pan Asian",11201,Under $10,4,Domo Taco,39,DOMO TACO,BROOKLYN,WILLOUGHBY ST,11201,Tex-Mex,4,2,17,2,13.25,7.5,1,0,0,0,0,0,2,2,,,,,
7187892778,Brooklyn,"French,
                    Venues & Event Spaces,
                    Breakfast & Brunch",11205,$11-30,4,Maison May Dekalb,213,MAISON MAY,BROOKLYN,DEKALB AVENUE,11205,French,22,9,31,8,16.86363636,8.259456079,6,3,4,0,0,0,10,7,,,,,
7187888070,Brooklyn,"Latin American,
                    Peruvian",11215,$11-30,4,Surfish Peruvian Bistro,159,SURFISH BISTRO,BROOKLYN,3RD AVE,11215,Peruvian,5,3,9,0,6,4.242640687,4,0,0,0,0,0,3,3,,,,,
7187868309,Long Island City,"Vietnamese,
                    Sandwiches,
                    Bubble Tea",11101,$11-30,4,Cyclo,323,CYCLO,QUEENS,47TH AVE,11101,Vietnamese/Cambodian/Malaysia,2,12,12,12,12,0,2,0,0,0,0,0,1,1,,,,,
7187866171,Long Island City,Italian,11101,$11-30,4,Manetta’s Ristorante,271,MANETTA'S RISTORANTE,QUEENS,JACKSON AVENUE,11101,Italian,29,19,33,6,19.34482759,9.044634803,12,0,0,0,0,0,8,5,,,,,
7187845065,Long Island City,"Wine Bars,
                    Burgers,
                    Beer Bar",11101,$11-30,4,The Baroness Bar + Kitchen,176,THE BARONESS BAR,QUEENS,CRESCENT STREET,11101,French,19,13,21,2,13.36842105,5.794734452,9,0,0,0,0,0,7,5,,,,,
7187834565,Brooklyn,Italian,11215,$31-60,4,Al Di La Trattoria,673,AL DI LA,BROOKLYN,5 AVENUE,11215,Italian,21,9,29,4,17.0952381,8.86512697,6,3,0,0,0,0,7,5,,,,,
7187833800,Brooklyn,"American (New),
                    Breakfast & Brunch",11215,$11-30,4,Rose Water Restaurant,540,ROSE WATER,BROOKLYN,UNION STREET,11215,American,27,6,20,5,14.59259259,4.885293939,10,0,0,0,0,0,10,6,,,,,
7187831936,Brooklyn,"Cajun/Creole,
                    Barbeque,
                    Soul Food",11205,$11-30,4,Soco,1474,SOCO RESTAURANT,BROOKLYN,MYRTLE AVENUE,11205,Cajun,8,5,13,5,9.75,3.327375628,6,0,0,0,0,0,5,5,,,,,
7187828777,Brooklyn,"Burgers,
                    American (Traditional),
                    Sandwiches",11211,$11-30,4,Juniper,432,JUNIPER,BROOKLYN,BERRY STREET,11211,American,37,34,34,9,25.13513514,8.416789313,4,7,0,0,0,0,11,5,,,,,
7187828171,Brooklyn,Mexican,11211,$11-30,4,Mesa Coyoacan,622,MESA COYOACAN,BROOKLYN,GRAHAM AVENUE,11211,Mexican,15,13,32,9,18.26666667,10.18729367,8,0,0,0,0,0,6,5,,,,,
7187827372,Brooklyn,"Breakfast & Brunch,
                    French,
                    Bars",11211,$11-30,4,Le Barricou,948,LE BARRICOU,BROOKLYN,GRAND STREET,11211,French,36,9,50,0,18.33333333,13.31379521,8,5,0,0,0,0,13,7,,,,,
7187797272,Jackson Heights,"Peruvian,
                    Sandwiches,
                    Latin American",11370,$11-30,4.5,Juanitas Café,46,Juanita's,QUEENS,NORTHERN BLVD,11372,Spanish,10,17,17,4,12.5,4.377975179,5,0,0,0,0,0,4,3,,,,,
7187791119,Jackson Heights,"Himalayan/Nepalese,
                    Indian",11372,$11-30,4,Himalayan Yak,421,HIMALAYAN YAK RESTAURANT,QUEENS,ROOSEVELT AVENUE,11372,Indian,36,12,47,10,26.75,14.88887408,10,0,6,0,0,0,10,6,,,,,
7187526000,Long Island City,"American (New),
                    Cocktail Bars",11101,$11-30,4,Alobar,374,ALOBAR RESTAURANT,QUEENS,VERNON BOULEVARD,11101,American,41,30,38,5,27.82926829,7.94009584,4,6,6,0,0,0,9,5,,,,,
7187299080,Astoria,"Italian,
                    Breakfast & Brunch,
                    Bars",11106,$11-30,4,Gastroteca,628,GASTRO TECA ASTORIA,QUEENS,34TH AVE,11106,Italian,35,10,50,10,27.57142857,15.03385535,13,0,0,0,0,0,9,6,,,,,
7187294040,Long Island City,American (New),11101,$11-30,4.5,Crescent Grill,209,CRESCENT GRILL,QUEENS,CRESCENT ST,11101,American,37,7,36,7,19.75675676,9.566740434,13,0,0,0,0,0,10,6,,,,,
7187282350,Astoria,"Breakfast & Brunch,
                    American (New),
                    Comfort Food",11103,$11-30,4,Queens Comfort,1521,QUEENS COMFORT RESTAURANT,QUEENS,30TH AVE,11103,American,29,19,33,5,20.65517241,7.5321969,4,8,5,0,0,0,11,6,,,,,
7187280305,Astoria,"American (New),
                    Beer Gardens",11102,$11-30,4,The Barn,124,THE BARN,QUEENS,21 STREET,11102,American,26,15,24,7,14.96153846,4.494269856,8,5,0,0,0,0,10,6,,,,,
7187070615,Sunnyside,"Korean,
                    Asian Fusion",11104,$11-30,4,Doma,70,DOMA,QUEENS,41ST ST,11104,Korean,3,12,12,12,12,0,3,0,0,0,0,0,1,1,,,,,
7187014333,Brooklyn,Indonesian,11222,$11-30,4,Selamat Pagi,191,SELAMAT PAGI,BROOKLYN,DRIGGS AVENUE,11222,Indonesian,17,10,17,8,11.70588235,2.953064211,9,3,0,0,0,0,8,6,,,,,
7186861044,Brooklyn,"American (New),
                    Cafes,
                    Sandwiches",11218,$11-30,4,Brooklyn Commune,207,BROOKLYN COMMUNE,BROOKLYN,GREENWOOD AVENUE,11218,Sandwiches/Salads/Mixed Buffet,31,16,35,2,19.41935484,8.902337497,7,4,0,0,0,0,9,6,,,,,
7186808226,Brooklyn,"Mexican,
                    Tex-Mex",11209,$11-30,4,Ho’ Brah,595,HO'BRAH,BROOKLYN,3 AVENUE,11209,Mexican,29,10,23,9,14.44827586,4.641322217,13,3,0,0,0,0,10,7,,,,,
7186802289,Brooklyn,Chinese,11219,$11-30,3,Affable Eatery,7,AFFABLE EATERY,BROOKLYN,65TH ST,11219,Chinese,9,63,63,17,47.66666667,23,0,0,0,0,0,6,2,2,,,,,
7186800269,Brooklyn,"Breakfast & Brunch,
                    Coffee & Tea,
                    Sandwiches",11209,$11-30,4,The Coop,121,THE COOP,BROOKLYN,4TH AVE,11209,American,6,7,11,7,9.666666667,2.065591118,2,0,0,0,0,0,2,2,,,,,
7186437003,Brooklyn,"Breakfast & Brunch,
                    Mediterranean",11238,$11-30,4,Olea,662,OLEA,BROOKLYN,LAFAYETTE AVENUE,11238,Mediterranean,27,10,85,0,31.14814815,30.40584926,9,0,0,0,1,0,10,7,,,,,
7186436636,Brooklyn,American (New),11231,$11-30,4,The Good Fork,342,THE GOOD FORK,BROOKLYN,VAN BRUNT STREET,11231,American,14,12,21,2,13.71428571,5.497252061,8,0,0,0,0,0,6,5,,,,,
7186432722,Brooklyn,Seafood,11231,$11-30,3,Brooklyn Crab,687,BROOKLYN CRAB,BROOKLYN,REED ST,11231,Seafood,28,9,61,5,31.25,24.52606323,9,0,0,0,0,0,9,6,,,,,
7186393996,Elmhurst,"Chinese,
                    Noodles",11373,Under $10,4,Lao Bei Fang Dumpling House,437,LAO BEI FANG DUMPLING & HAND-DRAWN NOODLE HOUSE,QUEENS,BROADWAY,11373,Chinese,30,12,26,5,17.26666667,6.335087476,11,3,0,0,0,0,11,7,,,,,
