PHONE,DBA,BORO,STREET,ZIPCODE,CUISINE DESCRIPTION,Score_Now,Average_Score,Inspection,Times_Graded,Administration,Facility_Design,Facility_Maintenance,Food_Protection,Food_Source,Food_Temperature,Miscellaneous,Nutrition,Other,Personal_Hygiene,Signage,Tabacco,Vermin_Garbage,Critical,,
2018159686,DUNKIN' DONUTS,QUEENS,LIBERTY AVE,11419,Donuts,13,18,6,6,0,0,5,3,0,0,0,1,0,8,1,0,1,11,,
2018184669,PANERA BREAD,QUEENS,JUNCTION BOULEVARD,11374,American,9,14.64285714,7,6,0,0,2,3,0,4,0,0,0,5,0,0,0,12,,
2018329930,SUBWAY,BRONX,E 204TH ST,10467,Sandwiches,8,11.6,2,2,0,0,3,1,0,0,0,0,0,1,0,0,0,2,,
2018858643,THE WU ROOM,MANHATTAN,BOWERY,10002,American,26,19.2,2,2,0,0,1,1,0,0,0,0,0,3,0,0,0,4,,
2018881292,DAILY WAFFLE,QUEENS,UNION ST,11354,Pancakes/Waffles,7,11.57142857,4,4,0,1,3,1,0,0,0,1,0,2,0,0,0,4,,
2018927471,WINGSTOP,BRONX,E BURNSIDE AVE,10453,American,9,9,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,,
2019069545,L.A. GOURMET,MANHATTAN,E 58TH ST,10022,American,7,16.76470588,7,5,0,0,4,0,0,5,0,0,0,8,0,0,0,13,,
2019204389,SECARA,MANHATTAN,E 4TH ST,10009,Spanish,13,13,1,2,0,0,1,0,0,0,0,0,0,2,0,1,0,2,,
2019267105,DUNKIN' DONUTS,BRONX,W 235TH ST,10463,Donuts,5,5.75,3,3,0,0,2,0,0,0,0,0,0,2,0,0,0,2,,
2019543134,MCDONALD'S,BROOKLYN,ROCKAWAY PKWY,11236,American,7,11.94117647,7,5,0,1,7,2,1,1,0,0,0,5,0,0,0,9,,
2019620270,SERENATA,MANHATTAN,W 17TH ST,10011,Mexican,10,9.5,2,2,0,0,1,0,0,0,0,0,0,3,0,0,0,3,,
2019810997,DELANEY CHICKEN (URBAN SPACE),MANHATTAN,PARK AVE,10169,Chicken,13,8.4,3,3,0,0,2,0,0,1,0,0,0,2,0,0,0,3,,
2019840123,SONO UCHI SUSHI,MANHATTAN,LENOX AVE,10027,Japanese,3,29.25,4,3,0,1,4,1,0,3,0,0,0,3,0,0,0,8,,
2019957153,GOOGLE PANORAMA,MANHATTAN,8TH AVE,10011,American,2,2,2,2,0,0,2,0,0,0,0,0,0,1,0,0,0,1,,
2019957153,THE MEZZ (GOOGLE),MANHATTAN,9TH AVE,10011,American,2,8,2,2,0,0,2,0,0,0,0,0,0,1,0,0,0,1,,
2022108019,CAFE HENRIE,MANHATTAN,FORSYTH ST,10002,Caf̩/Coffee/Tea,12,14,3,3,0,0,2,1,0,2,0,0,0,3,0,0,0,6,,
2022706688,HUNGRY GHOST COFFEE BAR AND CAFE AT TISCH,MANHATTAN,BROADWAY,10003,Caf̩/Coffee/Tea,0,16.75,3,3,0,0,2,1,0,1,0,1,0,2,4,0,1,4,,
2022861788,DUNKIN' DONUTS,QUEENS,JFK INTERNATIONAL AIRPORT,11430,Caf̩/Coffee/Tea,12,6.5,5,5,0,0,0,1,0,0,0,0,0,4,0,0,0,5,,
2029073372,WEATHER UP,BROOKLYN,VANDERBILT AVENUE,11238,American,24,18,3,3,0,0,2,3,0,0,0,0,0,3,0,0,2,6,,
2032526859,CHALAIT,MANHATTAN,9TH AVE,10011,Caf̩/Coffee/Tea,7,7,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,,
2032939799,EATSA,MANHATTAN,MADISON AVE,10017,Vegetarian,8,9,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,2,,
2033055634,BEVERLY'S,MANHATTAN,ESSEX STREET,10002,American,6,17.3125,6,5,0,0,5,4,0,0,0,0,0,6,0,2,1,10,,
2036107366,G&J'S PIZZERIA,MANHATTAN,1ST AVE,10128,Pizza/Italian,12,11.42857143,2,2,0,0,5,0,0,1,0,0,0,1,0,0,0,2,,
2036563661,PIZZA BAR,MANHATTAN,W 34TH ST,10001,Pizza,9,14.9,4,3,0,0,0,2,0,2,0,0,0,4,0,0,2,8,,
2037314439,DUNKIN' DONUTS,QUEENS,20TH AVE,11356,Donuts,10,10,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,
2039196337,"DUNKIN' DONUTS, BASKIN ROBBINS",BRONX,E KINGSBRIDGE RD,10458,Donuts,8,13.22222222,4,4,0,0,3,1,0,1,0,0,0,4,0,0,0,6,,
2039439240,DUNKIN' DONUTS,QUEENS,37TH AVE,11372,Donuts,13,11,3,4,0,0,1,1,0,0,0,0,0,4,2,0,1,5,,
2039661083,JULIANA'S PIZZA,BROOKLYN,OLD FULTON STREET,11201,Italian,7,12.27272727,5,5,0,0,3,0,0,3,1,0,0,4,0,0,1,7,,
2055688823,LANZHOU HANDMAKE NOODLE,QUEENS,ROOSEVELT AVE,11354,Chinese,20,21.75,3,2,0,1,0,0,1,3,0,0,0,3,0,0,0,7,,
2062250663,BAR SUZETTE,MANHATTAN,PARK AVE,10169,American,3,2.5,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,
2062408953,Jill Lindsey,BROOKLYN,MYRTLE AVE,11205,Other,2,5,4,4,0,0,1,1,0,1,1,0,0,0,0,0,0,2,,
2063188705,STARBUCKS,MANHATTAN,BROAD ST,10004,Caf̩/Coffee/Tea,2,2,2,2,0,0,2,1,0,0,0,0,0,0,0,0,1,1,,
2063188705,STARBUCKS # 24485,MANHATTAN,3RD AVE,10022,Other,2,12,2,2,0,0,2,1,0,0,0,0,0,0,0,0,1,1,,
2072723346,Eat Morris,BROOKLYN,BROOKLYN AVE,11213,Caf̩/Coffee/Tea,12,40.90909091,3,3,0,0,1,4,1,2,0,0,0,2,0,0,1,8,,
212_480_68,SAUCE & BARREL,MANHATTAN,RECTOR ST,10006,Other,45,45,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,3,,
2122011228,AINSWORTH MIDTOWN,MANHATTAN,E 33RD ST,10016,American,7,27,6,4,0,1,5,5,0,7,1,0,0,2,1,0,1,15,,
2122012171,GRAMERCY TERRACE (GRAMERCY PARK HOTEL),MANHATTAN,LEXINGTON AVENUE,10010,American,0,14.4,8,6,0,0,5,5,1,1,0,0,0,4,0,0,3,10,,
2122012766,FOUNDRY KITCHEN & BAR,MANHATTAN,W 43RD ST,10036,American,7,21.6,13,9,0,0,7,12,1,8,0,0,0,3,0,0,5,23,,
2122012766,STAR'S CAFE (WESTIN HOTEL),MANHATTAN,WEST   43 STREET,10036,American,7,23.18181818,13,9,0,0,7,12,1,8,0,0,0,3,0,0,5,23,,
2122014065,L'AMICO/THE VINE,MANHATTAN,6TH AVE,10001,American,27,40.57142857,3,2,0,0,2,2,0,3,0,0,0,5,0,0,2,10,,
2122017650,EDISON BALLROOM,MANHATTAN,WEST   47 STREET,10036,Asian,9,18.5,6,5,0,0,6,6,0,1,0,0,0,5,0,0,2,12,,
2122019118,JIMMY,MANHATTAN,GRAND ST,10013,American,12,14.7,7,5,0,1,8,3,0,0,0,0,0,8,1,3,0,12,,
2122019119,DAVID BURKE KITCHEN,MANHATTAN,GRAND ST,10013,American,2,2.333333333,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,
2122030032,CHOP'T,MANHATTAN,3RD AVE,10075,Salads,13,10.25,3,4,0,0,5,0,0,1,1,0,0,2,0,0,0,3,,
2122030802,LE PAIN QUOTIDIEN,MANHATTAN,LEXINGTON AVENUE,10128,Sandwiches,7,5,3,3,0,0,5,0,0,0,0,0,0,1,0,0,0,1,,
2122032121,ACME BAR & GRILL,MANHATTAN,GREAT JONES STREET,10012,American,9,13.66666667,6,6,0,1,7,2,0,1,0,1,0,6,0,0,1,10,,
2122033371,CORCHO WINE ROOM,MANHATTAN,DYCKMAN STREET,10034,"Bottled beverages, including water, sodas, juices, etc.",12,20.87878788,11,6,0,1,6,13,0,1,0,0,0,8,0,2,4,23,,
2122035613,Burger Heights,MANHATTAN,AUDUBON AVE,10032,American,6,6,6,5,0,0,2,2,0,0,0,0,0,4,0,0,2,6,,
2122035613,Burger Heights,MANHATTAN,WADSWORTH AVE,10033,American,6,10.55555556,6,5,0,0,2,2,0,0,0,0,0,4,0,0,2,6,,
2122035944,DELIVERY ONLY,MANHATTAN,PEARL ST,10005,American,11,11,1,1,0,0,3,0,0,0,0,0,0,1,0,0,0,1,,
2122036161,WRAPIDO,MANHATTAN,9TH AVE,10036,Mediterranean,10,25.03030303,9,5,0,2,8,5,0,4,2,0,0,8,0,0,5,19,,
2122037167,NEBULA BAR & KITCHEN,MANHATTAN,NAGLE AVE,10040,Spanish,7,7,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,
2122037772,L&W OYSTER CO.,MANHATTAN,5 AVENUE,10001,Seafood,12,11.14285714,6,6,0,2,4,0,4,2,0,0,0,2,0,0,0,6,,
2122038095,MOMOFUKU KO,MANHATTAN,EXTRA PL,10003,Japanese,5,15.28571429,3,3,0,1,3,2,0,0,1,0,0,1,0,0,0,4,,
2122039132,TERRI,MANHATTAN,3RD AVE,10017,Vegetarian,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
2122040200,O YA,MANHATTAN,E 28TH ST,10016,Japanese,9,6.666666667,2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,1,,
2122044983,CHARLIE PALMER AT THE KNICK (4th Floor),MANHATTAN,BROADWAY,10036,American,6,15.6,4,4,0,0,4,2,0,2,0,0,0,2,0,0,0,6,,
2122045222,ROOF AT PARK SOUTH,MANHATTAN,E 28TH ST,10016,American,10,10,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,,
2122045249,COVINA,MANHATTAN,E 28TH ST,10016,American,9,9,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,
2122045570,LITTLE PARK,MANHATTAN,W BROADWAY,10007,American,5,7.8,3,4,0,0,1,0,0,0,0,0,0,4,1,0,0,4,,
2122045760,THE PAUL,MANHATTAN,W 29TH ST,10001,American,8,19.5,5,3,0,0,7,2,0,2,0,1,0,3,1,0,0,7,,
2122047246,HILTON GARDEN INN NEW YORK /TIME SQUAR CENTRAL,MANHATTAN,W 42ND ST,10036,American,10,10,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,,
2122048598,GRK,MANHATTAN,LEXINGTON AVE,10017,Greek,4,13.59090909,9,6,0,0,8,2,1,7,0,0,0,3,0,2,1,12,,
2122050100,MANHATTAN WEST,MANHATTAN,EAST   78 STREET,10075,American,4,2.75,5,5,0,0,3,0,0,0,1,1,0,0,0,0,1,0,,
2122051200,IHS MARKIT CAFE,MANHATTAN,W 33RD ST,10001,American,18,18,1,1,0,0,3,0,0,0,0,0,0,1,2,0,0,1,,
2122057284,DRINK,MANHATTAN,BROADWAY,10036,Caf̩/Coffee/Tea,6,6,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,
2122060000,THE TIPPLER,MANHATTAN,9 AVENUE,10011,Armenian,8,18.19047619,6,5,0,1,5,2,2,1,1,0,0,8,0,1,2,12,,
2122060381,WXOU RADIO,MANHATTAN,HUDSON STREET,10014,American,12,16.77272727,8,6,0,0,4,10,0,0,0,0,0,6,0,0,2,16,,
2122060430,WOOD AND ALES,MANHATTAN,W 14TH ST,10011,American,11,16.95454545,10,7,0,0,5,6,0,2,0,0,0,6,0,0,3,14,,
2122060440,METROPOLITAN ROOM,MANHATTAN,WEST   22 STREET,10010,American,10,12.21052632,9,6,0,0,5,6,0,3,1,1,0,3,0,2,2,12,,
2122060594,LELABAR,MANHATTAN,HUDSON STREET,10014,American,10,9.916666667,8,5,0,0,4,1,1,0,0,1,0,5,0,1,1,6,,
2122060669,JOE: THE ART OF COFFEE,MANHATTAN,WEST   23 STREET,10011,Caf̩/Coffee/Tea,9,20.11764706,9,6,0,0,3,5,0,5,0,0,0,3,2,0,1,13,,
2122060707,IRVING FARM COFFEE ROASTERS,MANHATTAN,E 50TH ST,10022,Caf̩/Coffee/Tea,12,24,2,2,0,1,0,0,0,1,0,0,0,2,0,0,0,4,,
2122060998,FAIRFIELD INN CHELSEA,MANHATTAN,WEST   28 STREET,10001,Continental,12,19.84615385,5,5,0,0,3,3,1,2,0,0,0,4,0,0,0,9,,
2122060999,PIZZA 23,MANHATTAN,W 23RD ST,10011,Pizza,13,21.75,10,6,0,0,9,7,0,6,0,1,0,4,0,0,2,17,,
2122061096,NO. 8,MANHATTAN,W 16TH ST,10011,American,11,18.57894737,6,4,0,0,1,11,0,1,0,2,0,2,0,1,4,14,,
2122061100,BUS STOP CAFE,MANHATTAN,HUDSON STREET,10014,American,12,8.666666667,3,3,0,0,4,0,0,1,0,0,0,1,0,0,0,2,,
2122061221,BOSTON MARKET,MANHATTAN,WEST   23 STREET,10011,American,12,17.72727273,8,6,0,0,3,8,0,2,0,0,0,4,0,0,5,14,,
2122061224,HEE KOREAN BBQ GRILL,MANHATTAN,6TH AVE,10001,Korean,11,16.30434783,7,5,0,0,9,4,0,5,0,0,0,4,0,1,1,13,,
2122061333,CAFFE BENE,MANHATTAN,W 17TH ST,10011,Caf̩/Coffee/Tea,6,7.285714286,3,3,0,0,5,0,0,0,0,1,0,1,0,0,0,1,,
2122061738,GROM,MANHATTAN,BLEECKER STREET,10014,"Ice Cream, Gelato, Yogurt, Ices",2,8.4,5,5,0,0,4,3,0,0,0,0,0,0,0,0,3,3,,
2122062557,STREETBIRD,MANHATTAN,FREDERICK DOUGLASS BOULEVARD,10026,American,12,16.78571429,5,4,0,0,3,3,0,3,0,0,0,2,0,0,3,8,,
2122063766,SAN MARINO RISTORANTE,MANHATTAN,CHARLTON STREET,10014,Italian,11,11.16666667,5,5,0,0,5,1,1,1,0,0,0,4,0,0,0,6,,
2122063781,CHIPOTLE MEXICAN GRILL,MANHATTAN,6 AVENUE,10010,Tex-Mex,4,19.42857143,9,6,0,0,4,8,0,3,0,0,0,1,0,0,5,12,,
2122064488,BUTTERFIELD CAFE,MANHATTAN,BROADWAY,10003,American,11,8.6,3,3,0,0,2,0,0,2,0,0,0,1,0,0,0,3,,
2122066200,BUBBY'S HIGHLINE,MANHATTAN,GANSEVOORT ST,10014,American,40,19.75,9,5,0,0,5,7,0,6,0,0,0,5,2,1,5,18,,
2122066766,BOTTINO,MANHATTAN,10 AVENUE,10001,Italian,12,30.68965517,8,6,0,1,8,7,0,5,1,0,0,6,0,0,2,19,,
2122066900,EL QUINTO PINO,MANHATTAN,WEST   24 STREET,10011,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12,18.64,8,5,0,1,6,7,0,1,0,0,0,5,0,0,5,14,,
2122067226,HANJAN,MANHATTAN,WEST   26 STREET,10010,Korean,5,27.10869565,12,8,0,1,14,5,1,8,0,0,0,15,2,2,2,29,,
2122067273,VICTORY GARDEN,MANHATTAN,CARMINE STREET,10014,"Ice Cream, Gelato, Yogurt, Ices",12,9.428571429,4,4,0,0,3,0,0,2,0,0,0,2,0,0,0,4,,
2122067577,MOLE,MANHATTAN,JANE STREET,10014,Mexican,7,20.95238095,7,5,0,0,5,6,0,3,1,0,0,4,0,0,3,13,,
2122067592,HECTOR'S CAFE & DINER,MANHATTAN,LITTLE WEST   12 STREET,10014,American,12,19.7826087,10,6,0,0,6,8,0,5,0,0,0,2,0,0,2,15,,
2122067691,LEDERHOSEN RESTAURANT,MANHATTAN,GROVE STREET,10014,German,5,22.86956522,7,5,0,0,6,5,1,2,0,1,0,5,0,0,4,12,,
2122068011,CRUMBS BAKE SHOP,MANHATTAN,UNIVERSITY PL,10003,Bakery,9,9,1,2,0,0,0,1,0,0,0,1,0,0,0,0,1,1,,
2122068388,AUNTIE GUAN'S KITCHEN 108,MANHATTAN,W 14TH ST,10011,Chinese,7,23.86363636,6,4,0,0,1,6,2,4,0,0,0,4,0,1,5,14,,
2122068405,POPEYES LOUISIANA KITCHEN,MANHATTAN,WEST   14 STREET,10011,Chicken,5,15.1875,6,5,0,0,3,5,0,1,1,0,0,3,0,0,4,9,,
2122068500,SWEET CORNER BAKE SHOP,MANHATTAN,HUDSON STREET,10014,Bakery,7,12.76923077,5,5,0,0,8,1,0,0,0,0,0,4,0,0,0,5,,
2122068530,TAURO RESTAURANT,MANHATTAN,HUDSON STREET,10013,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12,14.92,9,6,0,0,9,4,1,4,1,1,0,3,0,0,4,11,,
2122068686,LE ZIE TRATTORIA,MANHATTAN,7 AVENUE,10011,Italian,12,20.56,9,6,0,1,2,7,0,5,0,0,0,9,0,0,1,22,,
2122068805,BRYANT PARK GRILL,MANHATTAN,WEST 40TH STREET,10018,American,13,14.19047619,8,6,0,0,4,8,0,1,0,0,0,4,0,1,4,13,,
2122068903,EL COCOTERO,MANHATTAN,W 18TH ST,10011,Spanish,9,18.76470588,5,4,0,0,4,8,0,0,0,0,0,1,0,0,3,9,,
2122068922,CITY MARKET CAFE,MANHATTAN,5 AVENUE,10010,American,11,32.62745098,13,8,0,1,7,19,0,10,0,0,0,5,1,0,9,35,,
2122068959,THE FOUR FACED LIAR,MANHATTAN,WEST    4 STREET,10014,American,12,23.64,6,5,0,0,8,5,0,0,0,0,0,9,0,0,3,14,,
2122068989,LAUT,MANHATTAN,EAST   17 STREET,10003,Thai,11,15.47368421,8,5,0,0,3,1,1,6,0,2,0,6,0,2,2,13,,
2122069200,CLAY,MANHATTAN,WEST   14 STREET,10011,American,8,18.61111111,6,5,0,0,7,2,0,3,1,0,0,6,0,0,0,11,,
2122069330,INJERA RESTAURANT,MANHATTAN,ABINGDON SQ,10014,Ethiopian,10,18.5,6,5,0,0,5,5,1,1,0,0,0,5,0,0,1,11,,
2122069777,GIULIETTA'S CANTINA CLUB,MANHATTAN,CARMINE ST,10014,Italian,11,11,1,1,0,0,2,0,1,0,0,0,0,1,0,0,0,1,,
2122069991,MCDONALD'S,MANHATTAN,VARICK STREET,10014,Hamburgers,5,13.125,7,5,0,0,7,2,0,1,0,0,0,4,0,1,2,7,,
2122071902,ARMANI RISTORANTE,MANHATTAN,5TH AVE,10022,Italian,10,17.33333333,2,2,0,0,0,3,0,0,0,0,0,1,0,0,2,4,,
2122071938,TSUSHIMA,MANHATTAN,E 44TH ST,10017,Japanese,12,26.79166667,8,5,0,0,6,8,1,2,0,0,0,3,0,1,4,13,,
2122073657,FUSIA,MANHATTAN,1ST AVE,10022,Asian,10,10,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,
2122073737,PANAME,MANHATTAN,2ND AVE,10022,French,10,15,5,5,0,0,2,2,0,3,0,1,0,0,0,0,4,5,,
2122073771,SUBWAY,MANHATTAN,2 AVENUE,10065,Sandwiches,4,8.5,3,3,0,0,3,1,0,0,0,0,0,1,0,0,1,2,,
2122073848,D NAPOLI PIZZA,MANHATTAN,3 AVENUE,10022,Pizza,10,13.29411765,6,5,0,0,7,2,0,3,0,0,0,2,0,0,3,7,,
2122074000,ELITE FOOD BAR,MANHATTAN,EAST   48 STREET,10017,American,11,12.35714286,5,5,0,0,6,3,0,0,0,0,0,3,0,0,2,6,,
2122074101,PRET A MANGER,MANHATTAN,PARK AVENUE,10022,Sandwiches,2,7.125,5,5,0,0,6,0,0,2,0,0,0,0,0,0,0,2,,
2122074555,FIG & OLIVE,MANHATTAN,LEXINGTON AVENUE,10065,Mediterranean,10,12.81818182,5,5,0,0,3,2,0,2,0,0,0,3,0,0,1,7,,
2122074566,ESSEN,MANHATTAN,MADISON AVENUE,10022,American,12,23.47058824,11,7,0,0,9,3,3,10,0,0,0,7,3,0,2,20,,
2122074787,CHINA MOON,MANHATTAN,EAST 47 STREET,10017,Chinese,7,14.45,10,6,0,0,4,6,1,2,0,0,0,4,0,0,3,12,,
2122076962,FRANKLIN SQUARE CAFE @ HARPER COLLINS,MANHATTAN,BROADWAY,10007,American,5,10.4,6,5,0,1,2,0,1,2,0,0,0,3,0,0,0,6,,
2122078014,RED OLIVE,MANHATTAN,LEXINGTON AVENUE,10022,American,21,20.66666667,6,5,0,0,4,4,1,6,0,0,0,5,1,0,1,15,,
2122078050,BOBBY VAN'S STEAKHOUSE,MANHATTAN,EAST   54 STREET,10022,Steak,12,27.38888889,11,6,0,0,9,12,1,5,0,0,0,5,1,1,4,22,,
2122078080,A PLUS THAI PLACE,MANHATTAN,2ND AVE,10022,Thai,19,16.10714286,9,6,0,0,6,5,1,4,1,0,0,6,0,0,6,15,,
2122078117,ANDRE'S HUNGARIAN STRUDEL S & PASTRIES,MANHATTAN,1 AVENUE,10022,Bakery,12,30,4,4,0,0,1,4,0,2,1,0,0,2,0,0,4,8,,
2122078280,SCALINATELLA RESTAURANT,MANHATTAN,EAST   61 STREET,10065,Italian,7,15.73684211,7,5,0,0,5,1,0,4,1,0,0,7,1,0,2,12,,
2122078302,OMAR'S MEDITERRANEAN CUISINE,MANHATTAN,E 55TH ST,10022,Mediterranean,12,12,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,,
2122078349,EL PORRON,MANHATTAN,1 AVENUE,10065,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",13,20.7,8,6,0,0,5,7,0,2,2,0,0,10,2,0,6,19,,
2122078375,SPRINKLES CUPCAKES,MANHATTAN,LEXINGTON AVENUE,10065,Bakery,12,14.33333333,5,5,0,0,5,3,0,0,0,3,0,0,1,0,4,3,,
2122078562,THE POLO BAR,MANHATTAN,E 55TH ST,10022,American,9,12.71428571,3,3,0,1,4,1,0,1,0,0,0,0,0,0,0,3,,
2122078958,SUBWAY,MANHATTAN,FIRST AVE,10022,Sandwiches,12,16.75,5,5,0,1,6,2,0,2,0,0,0,1,1,0,0,6,,
2122087800,WRAPIDO,MANHATTAN,8 AVENUE,10011,Mediterranean,15,16.96296296,9,6,0,1,6,6,2,4,1,0,0,3,0,0,3,14,,
2122091055,CAFE TALLULAH,MANHATTAN,COLUMBUS AVENUE,10023,American,5,13.1,6,5,0,0,2,2,1,3,0,1,0,2,0,0,0,7,,
2122091573,BLIND PIG,MANHATTAN,EAST   14 STREET,10003,American,8,13.47826087,8,6,0,0,8,4,1,1,0,0,0,7,0,0,2,12,,
2122096784,MORGENSTERN'S FINEST ICE CREAM,MANHATTAN,BOWERY,10002,"Ice Cream, Gelato, Yogurt, Ices",9,11.69230769,6,5,0,0,4,5,0,0,0,0,0,1,0,0,3,6,,
2122103018,RA @ Y & R,MANHATTAN,COLUMBUS CIRCLE,10019,American,7,7,3,3,0,0,1,0,1,1,0,0,0,1,0,0,0,2,,
2122105285,CAFE 285,MANHATTAN,COLUMBUS CIRCLE,10019,American,5,3.333333333,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,2,,
2122130009,OMAR'S MEDITERRANEAN CUISINE,MANHATTAN,E 39TH ST,10016,Mediterranean,9,9,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,,
2122130042,BLACK SHACK,MANHATTAN,LEXINGTON AVENUE,10016,American,2,6.5,3,3,0,0,2,0,0,0,0,0,0,2,0,0,0,2,,
2122130050,THE COFFEE BEAN & TEA LEAF,MANHATTAN,2 AVENUE,10016,Caf̩/Coffee/Tea,10,7.25,3,3,0,0,1,0,0,1,0,0,0,2,0,0,0,3,,
